Id/Img	KEY			ToolTipText
01	PONTEIRO		Seleção de objetos
02	PONTO			Ponto livre
03	PONTO_SOBRE		Ponto sobre objeto
04	PONTO_DE_INTERSECÇÃO	Pontos de Interseção
05	SEGMENTO		Segmento de reta
06	VETOR			Vetor
07	SEMI_RETA		Semi-reta
08	RETA			Reta
09	TRIÂNGULO		Triângulo
10	POLÍGONO		Polígono
11	POLÍGONO_REGULAR	Polígono Regular
12	CIRCUNFERÊNCIA		Circunferência
13	ARCO			Arco de circunferência
14	CÔNICA			Cônica por 5 pontos
15	PARALELA		Reta paralela
16	PERPENDICULAR		Reta perpendicular
17	MEDIATRIZ		Medriatriz
18	PONTO_MÉDIO		Ponto médio
19	BISSETRIZ		Bissetriz
